candidate_id,sld_name,rank,x,y,scale,rotation,combined_score,classification
SLD7_10,SLD7,10,1282,34,0.4,90,705.4831340011615,
SLD10_1,SLD10,1,972,645,0.4,180,745.1689848638118,
SLD10_2,SLD10,2,967,116,0.4,180,728.2552919055113,
SLD10_3,SLD10,3,1341,302,0.4,90,725.161872377686,
SLD10_4,SLD10,4,982,631,0.4,0,717.4790180244618,
SLD10_5,SLD10,5,288,645,0.4,180,707.9406042579895,
SLD10_6,SLD10,6,1340,322,0.4,90,692.38471079232,
SLD10_7,SLD10,7,940,121,0.4,90,675.9932889808363,
SLD10_8,SLD10,8,879,119,0.4,90,675.9789480255517,
SLD10_9,SLD10,9,1012,116,0.4,180,674.097172708029,
SLD10_10,SLD10,10,1004,645,0.4,180,674.0624638173917,
SLD8_1,SLD8,1,723,283,0.4,270,726.9342204863617,
SLD8_2,SLD8,2,717,326,0.4,180,721.4612587444356,
SLD8_3,SLD8,3,22,309,0.4,270,686.5622898404803,
SLD8_4,SLD8,4,720,327,0.372,180,673.346952205188,
SLD8_5,SLD8,5,346,131,0.4,90,646.444869120209,
SLD8_6,SLD8,6,289,132,0.4,90,643.1735882694543,
SLD8_7,SLD8,7,591,473,0.4,270,643.0685143513913,
SLD8_8,SLD8,8,426,114,0.4,0,640.5406884700666,
SLD8_9,SLD8,9,594,496,0.4,180,636.7871623588187,
SLD8_10,SLD8,10,577,131,0.4,90,633.3230333914054,
SLD2_1,SLD2,1,647,410,0.4,0,702.113759810777,
SLD2_2,SLD2,2,67,424,0.4,180,691.0309203476828,
SLD2_3,SLD2,3,898,162,0.4,270,689.8360287198731,
SLD2_4,SLD2,4,342,424,0.4,180,684.3054287868571,
SLD2_5,SLD2,5,656,424,0.4,180,680.8624793563374,
SLD2_6,SLD2,6,884,154,0.4,90,679.3836191202091,
SLD2_7,SLD2,7,498,42,0.4,0,671.2771456798512,
SLD2_8,SLD2,8,298,424,0.4,180,663.9602783335207,
SLD2_9,SLD2,9,604,424,0.4,180,660.5410092540557,
SLD2_10,SLD2,10,797,424,0.4,180,653.8106457607433,
SLD11_1,SLD11,1,465,381,0.4,0,686.6687872827409,
SLD11_2,SLD11,2,465,308,0.372,0,674.7445045420517,
SLD11_3,SLD11,3,516,32,0.4,180,670.6995459886389,
SLD11_4,SLD11,4,81,376,0.4,0,668.2008853980402,
SLD11_5,SLD11,5,78,309,0.372,0,660.1067022066311,
SLD11_6,SLD11,6,466,383,0.372,0,660.0754945572827,
SLD11_7,SLD11,7,79,379,0.372,0,657.1403881094911,
SLD11_8,SLD11,8,78,305,0.4,0,649.7347787175453,
SLD11_9,SLD11,9,262,85,0.4,90,643.2754758275263,
SLD11_10,SLD11,10,466,305,0.4,0,640.5013308239754,
SLD9_1,SLD9,1,742,442,0.4,180,630.1541735697426,
SLD9_2,SLD9,2,749,313,0.4,180,626.7605222238946,
SLD9_3,SLD9,3,843,111,0.4,90,613.826393655633,
SLD9_4,SLD9,4,1215,113,0.4,180,609.811695546472,
SLD9_5,SLD9,5,613,115,0.4,90,597.4234358611882,
SLD9_6,SLD9,6,1544,115,0.4,90,597.3572483611881,
SLD9_7,SLD9,7,312,99,0.4,0,591.2978375169962,
SLD9_8,SLD9,8,810,274,0.4,270,577.9540750469044,
SLD9_9,SLD9,9,195,113,0.4,180,575.9417565365445,
SLD9_10,SLD9,10,1127,113,0.4,180,565.7641072706816,
SLD12_1,SLD12,1,757,53,0.4,180,606.4926915843589,
SLD12_2,SLD12,2,519,39,0.4,0,575.9297858645599,
SLD12_3,SLD12,3,466,39,0.4,0,563.6418058257635,
SLD12_4,SLD12,4,625,39,0.4,0,557.516661905954,
SLD12_5,SLD12,5,599,39,0.4,0,548.1789270398716,
SLD12_6,SLD12,6,332,39,0.4,0,545.1268055396611,
SLD12_7,SLD12,7,512,53,0.4,180,535.2603076446647,
SLD12_8,SLD12,8,442,39,0.4,0,514.4058898683928,
SLD12_9,SLD12,9,166,53,0.4,180,508.31110069873745,
SLD12_10,SLD12,10,521,41,0.372,0,504.7069397111138,
