key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD7_528_341,A_TrueMR,4.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_562_728,A_TrueMR,3.0,2.0,1.0,0.5,1.5,0.5
SLD1_881_122,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_242_80,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_476_82,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_19_696,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1339_204,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_529_430,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1004_84,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_140_51,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_588_64,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1015_41,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_494_26,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1240_209,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_142_172,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1284_87,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1733_233,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_898_295,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_174_654,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_90_121,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1216_48,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_794_305,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_402_179,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_350_139,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_586_299,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_777_411,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_728_258,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_335_491,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_287_125,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1164_164,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_161_74,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_18_95,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_501_86,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_18_47,A_TrueMR,4.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_181_137,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_842_64,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_1559_112,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_728_396,A_TrueMR,6.0,2.0,4.0,2.0,3.0,0.2
SLD11_578_468,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1249_733,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_739_213,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_677_79,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_613_461,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_521_61,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_899_215,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_441_5,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_102_58,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
