Euler_Number,CoverageScaleScore,sld_rank,candidate_contour_count,candidate_edge_density,template_alignment_quality,template_component_count,template_edge_density,hole_count_difference,coverage_r0,normalized_score_c,aspect_ratio_difference,sld_name,template_total_contour_perimeter,Stroke_Count,shape_similarity,Vertical_Stroke_Ratio,x,CombinedScore,density_difference,Graph_Density_Difference,Contour_Hierarchy_Depth,Connected_Component_Count,rotation,candidate_aspect_ratio,Component_Area_Variance,candidate_euler,candidate_id,template_contour_count,template_area,localized_chamfer_residual,Average_Branch_Length,template_id,component_difference,Degree_Distribution_Difference,coverage_r2,Endpoint_Matching_Ratio,scale,candidate_total_contour_area,topology_difference,template_bbox_area,Junction_Similarity,edge_count,Branch_Point_Count,euler_difference,fp_class,candidate_component_count,Horizontal_Stroke_Ratio,Endpoint_Count,Largest_Component_Ratio,Hole_Count,Graph_Edit_Distance_Approx,contour_difference,Maximum_Branch_Length,bbox_area_ratio,contour_area_ratio,y,template_width,group,Node_Count_Difference,normalized_score_a,coverage_r1,template_euler,candidate_foreground_ratio,VerificationScore,coverage_r3,candidate_bbox_area,template_foreground_ratio,template_aspect_ratio,normalized_score_b,CoverageAreaScore,chamfer_score,candidate_total_contour_perimeter,occupancy_difference,template_height,largest_component_ratio,Endpoint_Similarity,Branch_Length_Variance,Stroke_Density,template_total_contour_area,Edge_Count_Difference,edge_overlap_ratio,contour_perimeter_ratio,Loop_Count,Junction_Matching_Ratio,Stroke_Similarity
2.0,0.15625,721,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,226,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
2.0,0.15625,737,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,242,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
2.0,0.15625,740,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,245,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
2.0,0.15625,743,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,248,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
2.0,0.15625,744,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,249,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
2.0,0.15266272189349114,850,2,0.04878048780487805,0.35502958579881655,7,0.1288109756097561,2,0.35502958579881655,0.019664634146341467,0.59375,SLD3,570.3502857685089,2.0,0.09122099648159798,1.0,1743,400.798033915428,0.08003048780487805,0.2,0.0,2.0,270,0.046875,0.0,2,,9,2624,7.0828404,128.0,T_0.400_270,5,7.0,0.39644970414201186,0.0,0.4,0.0,5,2624,0.007874015748031496,338,0.0,3,,2,0.0,0.0,0.5,0.0,162.0,7,256.0,0.07317073170731707,0.0,19,41,E_PromotedNoise,36.0,0.15266272189349114,0.3816568047337278,5,0.6666666666666666,0.35175277817866935,0.4289940828402367,192,0.1288109756097561,0.640625,1001.4674556213018,1001.4674556213018,7.082840442657471,252.0,0.5378556910569106,64,1.0,0.02702702702702703,0.0,1.0,151.5,126.0,0.35502958579881655,0.44183374022588034,2.0,0.0,1.0
2.0,0.15266272189349114,856,2,0.04878048780487805,0.35502958579881655,7,0.1288109756097561,2,0.35502958579881655,0.019664634146341467,0.59375,SLD3,570.3502857685089,2.0,0.09122099648159798,1.0,1743,400.798033915428,0.08003048780487805,0.2,0.0,2.0,270,0.046875,0.0,2,,9,2624,7.0828404,128.0,T_0.400_270,5,7.0,0.39644970414201186,0.0,0.4,0.0,5,2624,0.007874015748031496,338,0.0,3,,2,0.0,0.0,0.5,0.0,162.0,7,256.0,0.07317073170731707,0.0,25,41,E_PromotedNoise,36.0,0.15266272189349114,0.3816568047337278,5,0.6666666666666666,0.35175277817866935,0.4289940828402367,192,0.1288109756097561,0.640625,1001.4674556213018,1001.4674556213018,7.082840442657471,252.0,0.5378556910569106,64,1.0,0.02702702702702703,0.0,1.0,151.5,126.0,0.35502958579881655,0.44183374022588034,2.0,0.0,1.0
2.0,0.15266272189349114,868,2,0.04878048780487805,0.35502958579881655,7,0.1288109756097561,2,0.35502958579881655,0.019664634146341467,0.59375,SLD3,570.3502857685089,2.0,0.09122099648159798,1.0,1743,400.798033915428,0.08003048780487805,0.2,0.0,2.0,270,0.046875,0.0,2,,9,2624,7.0828404,128.0,T_0.400_270,5,7.0,0.39644970414201186,0.0,0.4,0.0,5,2624,0.007874015748031496,338,0.0,3,,2,0.0,0.0,0.5,0.0,162.0,7,256.0,0.07317073170731707,0.0,37,41,E_PromotedNoise,36.0,0.15266272189349114,0.3816568047337278,5,0.6666666666666666,0.35175277817866935,0.4289940828402367,192,0.1288109756097561,0.640625,1001.4674556213018,1001.4674556213018,7.082840442657471,252.0,0.5378556910569106,64,1.0,0.02702702702702703,0.0,1.0,151.5,126.0,0.35502958579881655,0.44183374022588034,2.0,0.0,1.0
2.0,0.15266272189349114,924,2,0.04878048780487805,0.35502958579881655,7,0.1288109756097561,2,0.35502958579881655,0.019664634146341467,0.59375,SLD3,570.3502857685089,2.0,0.09122099648159798,1.0,1743,400.798033915428,0.08003048780487805,0.2,0.0,2.0,270,0.046875,0.0,2,,9,2624,7.0828404,128.0,T_0.400_270,5,7.0,0.39644970414201186,0.0,0.4,0.0,5,2624,0.007874015748031496,338,0.0,3,,2,0.0,0.0,0.5,0.0,162.0,7,256.0,0.07317073170731707,0.0,239,41,E_PromotedNoise,36.0,0.15266272189349114,0.3816568047337278,5,0.6666666666666666,0.35175277817866935,0.4289940828402367,192,0.1288109756097561,0.640625,1001.4674556213018,1001.4674556213018,7.082840442657471,252.0,0.5378556910569106,64,1.0,0.02702702702702703,0.0,1.0,151.5,126.0,0.35502958579881655,0.44183374022588034,2.0,0.0,1.0
5.0,0.19470762711864406,365,7,0.11702127659574468,0.3177966101694915,2,0.1673758865248227,2,0.3177966101694915,0.03329782608695652,0.2743589743589743,SLD4,308.55129647254944,3.0,0.03516430008709798,0.3333333333333333,176,380.32096981403333,0.050354609929078004,0.048378926038500525,1.0,6.0,0,1.8076923076923077,749.9166666666666,5,,5,1410,1.4574957,7.947368421052632,T_0.289_000,4,5.821428571428571,0.7838983050847458,0.5833333333333334,0.289,29.5,8,1380,0.004,236,18.0,6,,6,0.6666666666666666,10.0,0.40606060606060607,1.0,269.0,2,15.894736842105264,0.8855072463768116,0.24686192468619247,126,47,E_PromotedNoise,20.0,0.19470762711864406,0.673728813559322,-1,0.13502454991816695,0.5631982776261457,0.8516949152542372,1222,0.17101449275362318,1.5333333333333334,949.957627118644,949.957627118644,1.4574956893920898,319.09545278549194,0.03598994283545623,30,1.0,0.047619047619047616,0.0,0.5,119.5,249.0,0.3177966101694915,1.0341731064931066,6.0,0.3805970149253731,0.5
5.0,0.17885214007782102,366,7,0.09863339275103981,0.2607003891050584,6,0.1527035056446821,1,0.2607003891050584,0.027857575757575758,0.4463869463869463,SLD4,396.16652023792267,3.0,0.06084284362644446,0.3333333333333333,462,380.1942146114205,0.05407011289364229,0.1885057471264368,1.0,6.0,0,1.9615384615384615,796.888888888889,5,,6,1683,3.5962417,7.0,T_0.317_000,0,5.466666666666667,0.5914396887159533,1.0,0.317,34.5,2,1650,0.012048192771084338,257,21.0,1,,6,0.6666666666666666,9.0,0.4457831325301205,1.0,82.0,1,14.0,0.8036363636363636,0.5149253731343284,127,51,E_PromotedNoise,0.0,0.17885214007782102,0.5642023346303502,6,0.12518853695324283,0.6220048971145331,0.6459143968871596,1326,0.15575757575757576,1.5151515151515151,949.5525291828793,949.5525291828793,3.5962419509887695,319.78174448013306,0.030569038804332926,33,1.0,1.0,0.0,0.5,67.0,82.0,0.2607003891050584,0.8071902297248243,6.0,1.0,0.5
2.0,0.13005,839,2,0.06666666666666667,0.2,1,0.15602836879432624,3,0.2,0.02073260869565217,10.216666666666667,SLD4,316.6518015861511,2.0,0.03836750035750636,0.0,759,254.0064070305273,0.08936170212765958,0.35650623885918004,0.0,2.0,180,11.75,0.0,2,,4,1410,4.677273,94.0,T_0.289_180,1,11.764705882352942,0.4909090909090909,0.0,0.289,0.0,7,1380,0.004975124378109453,220,0.0,4,,2,1.0,0.0,0.5,0.0,234.0,2,188.0,0.13623188405797101,0.0,139,47,E_PromotedNoise,34.0,0.13005,0.45,-2,0.5,0.34401171754548265,0.5409090909090909,188,0.15942028985507245,1.5333333333333334,634.5,634.5,4.677272796630859,184.0,0.34057971014492755,30,1.0,0.02857142857142857,0.0,1.0,607.0,200.0,0.2,0.5810799088409396,2.0,0.0,1.0
2.0,0.1703225806451613,934,2,0.04878048780487805,0.2,7,0.11814024390243902,0,0.2,0.020441347270615563,14.463414634146341,SLD7,521.5218585729599,2.0,0.09270461014747156,0.0,1229,447.08853030047584,0.06935975609756097,0.2123076923076923,0.0,2.0,180,16.0,0.0,2,,7,2624,6.435484,128.0,T_0.400_180,5,5.3076923076923075,0.4483870967741935,0.0,0.4,0.0,5,2583,0.014285714285714285,310,0.0,5,,2,1.0,0.0,0.5,0.0,95.0,5,256.0,0.09910956252419667,0.0,180,64,E_PromotedNoise,26.0,0.1703225806451613,0.4258064516129032,7,0.5,0.2701311459543167,0.4806451612903226,256,0.1200154858691444,1.5365853658536586,1117.316129032258,1117.316129032258,6.435483932495117,252.0,0.3799845141308556,41,1.0,0.037037037037037035,0.0,1.0,61.5,69.0,0.2,0.4832012232230256,2.0,0.0,1.0
