SLD,Symbol_ID,Scale,Classification,Stage3_Rank,Stage4_Rank,Stage5_Rank,ChamferScore,CoverageAreaScore,CombinedScore,Cand_X,Cand_Y,Cand_Scale,Cand_Rotation
SLD7,SLD7_GT_42,4.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,1223,33,30,3.128653049468994,1623.6000000000001,649.8323706445993,1712.0,183.0,0.4,90.0
SLD7,SLD7_GT_43,3.466666666666667,LOCALIZED_AND_HIGHLY_RANKED,4076,801,797,5.799355506896973,1148.0,459.5983358304298,3.0,183.0,0.4,90.0
SLD7,SLD7_GT_44,2.4,LOCALIZED_AND_HIGHLY_RANKED,1201,373,372,3.852396249771118,1296.6134185303513,519.0509583838027,21.0,730.0,0.372,180.0
SLD7,SLD7_GT_45,3.466666666666667,LOCALIZED_AND_HIGHLY_RANKED,171,231,232,2.365813732147217,1366.3431952662722,546.8007356256314,3.0,238.0,0.4,270.0
SLD7,SLD7_GT_46,3.7333333333333334,LOCALIZED_AND_HIGHLY_RANKED,1173,102,102,4.276331424713135,1475.0295857988165,590.4101181988743,17.0,687.0,0.4,270.0
SLD7,SLD7_GT_47,4.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,1001,300,303,2.163362503051758,1328.3999999999999,531.5954822657018,1726.0,269.0,0.4,90.0
SLD7,SLD7_GT_48,3.7333333333333334,LOCALIZED_AND_HIGHLY_RANKED,629,411,412,2.0947115421295166,1280.9467455621302,512.6420215857364,553.0,153.0,0.4,270.0
SLD7,SLD7_GT_49,2.2,LOCALIZED_AND_HIGHLY_RANKED,1353,438,443,2.4068267345428467,1269.6774193548388,508.08795195946203,441.0,344.0,0.4,180.0
SLD7,SLD7_GT_50,1.5333333333333334,LOCALIZED_AND_HIGHLY_RANKED,1187,563,562,4.420008182525635,1226.603550295858,490.97005508785503,1727.0,752.0,0.4,270.0
SLD7,SLD7_GT_51,4.0,LOCALIZED_AND_HIGHLY_RANKED,7599,394,392,5.080106735229492,1288.7100591715975,515.8392938670147,17.0,95.0,0.4,270.0
SLD7,SLD7_GT_52,3.7333333333333334,LOCALIZED_AND_HIGHLY_RANKED,4221,426,425,5.078712463378906,1273.1834319526627,509.6273053741521,17.0,512.0,0.4,270.0
SLD7,SLD7_GT_53,3.466666666666667,LOCALIZED_AND_HIGHLY_RANKED,619,481,481,2.417884588241577,1257.6568047337278,503.3068166185597,3.0,258.0,0.4,270.0
SLD7,SLD7_GT_54,2.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,4327,716,715,5.364390850067139,1169.6422287390028,468.1796395650254,670.0,487.0,0.4,0.0
SLD7,SLD7_GT_55,1.5333333333333334,LOCALIZED_AND_HIGHLY_RANKED,388,64,65,2.4481678009033203,1544.8994082840236,618.2444158608746,1203.0,8.0,0.4,270.0
SLD7,SLD7_GT_56,4.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,725,199,200,1.9896318912506104,1385.8,554.5632450471277,1727.0,235.0,0.4,90.0
SLD7,SLD7_GT_57,2.2,LOCALIZED_AND_HIGHLY_RANKED,2419,815,812,4.1000518798828125,1143.6421725239616,457.7525724637309,486.0,342.0,0.372,180.0
SLD7,SLD7_GT_58,2.533333333333333,LOCALIZED_BUT_POORLY_RANKED,6298,1626,-1,6.352838516235352,0.0,0.0,1447.0,180.0,0.4,180.0
SLD7,SLD7_GT_59,2.1333333333333333,LOCALIZED_AND_HIGHLY_RANKED,1112,122,121,3.4578871726989746,1451.7396449704142,581.1137051883389,17.0,353.0,0.4,270.0
SLD7,SLD7_GT_60,3.466666666666667,LOCALIZED_BUT_POORLY_RANKED,4077,3440,-1,3.4035043716430664,0.0,0.0,542.0,246.0,0.344,0.0
SLD7,SLD7_GT_61,2.2,LOCALIZED_BUT_POORLY_RANKED,8563,1707,-1,6.5580644607543945,0.0,0.0,614.0,84.0,0.4,180.0
SLD7,SLD7_GT_62,2.2,LOCALIZED_BUT_POORLY_RANKED,11716,15674,-1,5.2759690284729,0.0,0.0,915.0,398.0,0.289,180.0
SLD7,SLD7_GT_63,2.2,LOCALIZED_AND_HIGHLY_RANKED,8592,137,138,4.502439022064209,1438.9677419354837,575.9350812210917,660.0,70.0,0.4,0.0
SLD7,SLD7_GT_64,2.2,LOCALIZED_AND_HIGHLY_RANKED,1800,822,821,6.231758117675781,1142.7096774193549,457.30712235397704,528.0,341.0,0.4,180.0
SLD7,SLD7_GT_65,2.2,LOCALIZED_BUT_POORLY_RANKED,11712,9362,-1,6.049776077270508,0.0,0.0,494.0,379.0,0.4,0.0
SLD7,SLD7_GT_66,2.2,LOCALIZED_AND_HIGHLY_RANKED,5269,931,931,6.435483932495117,1117.316129032258,447.08853030047584,1226.0,180.0,0.4,180.0
SLD7,SLD7_GT_67,2.2,LOCALIZED_AND_HIGHLY_RANKED,5299,953,953,6.435483932495117,1117.316129032258,447.08853030047584,1248.0,180.0,0.4,180.0
