sld_name,ground_truth_x,ground_truth_y,best_candidate_x,best_candidate_y,association_distance,stage3_rank,stage4_rank,stage5_rank,template_id,template_scale,template_rotation,chamfer_score,coverage_score,verification_score,combined_score
SLD10,929,502,950.0,514.0,21.27204738618265,9008,13251,-1,T_0.289_180,0.289,180,5.282487869262695,0,0,5.282487869262695
SLD10,1437,502,1447.0,514.0,12.90348790056394,9011,13176,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,664,136,675.0,146.0,16.62077013859466,2442,1605,-1,T_0.344_270,0.344,270,3.488926887512207,0,0,3.488926887512207
SLD10,1310,504,1328.0,516.0,24.829418035870273,943,2880,-1,T_0.317_090,0.317,90,3.3054141998291016,0,0,3.3054141998291016
SLD10,646,651,661.0,649.0,22.983689869122408,2527,1557,-1,T_0.372_090,0.372,90,4.257470607757568,0,0,4.257470607757568
SLD10,1259,243,1221.0,237.0,24.186773244895647,5800,1328,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,71,517,77.0,515.0,20.359273071502333,9055,6799,-1,T_0.400_090,0.4,90,7.574007511138916,0,0,7.574007511138916
SLD10,199,517,202.0,511.0,15.074813431681335,9092,9382,-1,T_0.372_180,0.372,180,7.395744800567627,0,0,7.395744800567627
SLD10,453,517,455.0,511.0,14.080127840328723,9057,9436,-1,T_0.372_180,0.372,180,7.38938570022583,0,0,7.38938570022583
SLD10,581,517,582.0,511.0,13.0862523283024,9093,9383,-1,T_0.372_180,0.372,180,7.395744800567627,0,0,7.395744800567627
SLD10,959,517,962.0,511.0,15.074813431681335,9094,9384,-1,T_0.372_180,0.372,180,7.395744800567627,0,0,7.395744800567627
SLD10,621,634,603.0,631.0,14.0089257261219,2565,2138,-1,T_0.400_000,0.4,0,5.478483200073242,0,0,5.478483200073242
SLD10,1335,630,1320.0,648.0,22.41093483101497,2024,1642,-1,T_0.400_090,0.4,90,3.6367199420928955,0,0,3.6367199420928955
SLD10,777,499,785.0,511.0,14.422205101855956,9024,9381,-1,T_0.372_180,0.372,180,7.320390701293945,0,0,7.320390701293945
SLD10,842,514,835.0,511.0,3.0413812651491097,9059,9437,-1,T_0.372_180,0.372,180,7.38938570022583,0,0,7.38938570022583
SLD10,1335,101,1320.0,119.0,22.41093483101497,2061,1643,-1,T_0.400_090,0.4,90,3.639035701751709,0,0,3.639035701751709
SLD10,1222,514,1203.0,514.0,21.552262062252307,9061,13175,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,13,499,11.0,511.0,12.165525060596439,9022,11035,-1,T_0.372_180,0.372,180,7.450202465057373,0,0,7.450202465057373
SLD10,1032,499,1025.0,511.0,13.892443989449804,9009,12223,-1,T_0.372_180,0.372,180,7.471249103546143,0,0,7.471249103546143
SLD10,1160,499,1151.0,511.0,15.0,9010,11113,-1,T_0.372_180,0.372,180,7.476410388946533,0,0,7.476410388946533
SLD10,332,512,316.0,514.0,22.588713996153036,9056,13170,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,1093,513,1076.0,514.0,21.592822881689184,9060,13174,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
