candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,group,sld_rank,group,sld_rank,fp_class
,SLD1,T_0.400_180,0.4,180,576,102,0.7096474170684814,0.43548387096774194,0.8709677419354839,0.9612903225806452,0.9870967741935484,0.34838709677419355,2285.4193548387098,0.04181184668989547,64,41,2624,310,10,7,3,1.0,11,7,4,186.5,61.5,3.032520325203252,600.918827176094,521.5218585729599,1.152240922020772,1.5609756097560976,1.5365853658536586,0.024390243902439046,2624,2583,1.0158730158730158,0.11661585365853659,0.11814024390243902,0.0015243902439024265,0.11661585365853659,0.1200154858691444,0.0033996322106078086,9,7,2,1,3,0.43548387096774194,0.7096474,0.006025759399993752,0.43548387096774194,0.6947823080189327,2285.4193548387098,0.34838709677419355,914.5846113202953,A_TrueMR,1,A_TrueMR,1,
,SLD1,T_0.400_000,0.4,0,1292,104,5.248462200164795,0.20821114369501467,0.3870967741935484,0.44868035190615835,0.49560117302052786,0.15483870967741936,1015.741935483871,0.020121951219512196,64,41,2624,341,3,6,3,1.0,3,8,5,2.5,555.0,0.0045045045045045045,278.8700569868088,575.6223644018173,0.48446702948487513,2.3703703703703702,1.5609756097560976,0.8093947606142726,1728,2624,0.6585365853658537,0.053734756097560975,0.12995426829268292,0.07621951219512194,0.08159722222222222,0.12995426829268292,0.048357046070460694,3,4,1,2,3,0.20821114369501467,5.248462,0.08185672959416931,0.20821114369501467,0.43566907933253335,1015.741935483871,0.15483870967741936,406.5581756411479,A_TrueMR,323,A_TrueMR,323,
,SLD1,T_0.372_270,0.372,270,757,150,3.8289921283721924,0.25806451612903225,0.3967741935483871,0.6,0.6612903225806451,0.1476,904.6451612903226,0.0204085637823372,38,60,2280,310,4,3,1,1.0,5,3,2,15.5,79.0,0.1962025316455696,315.01219260692596,492.45079135894775,0.6396825797307194,0.5833333333333334,0.6440677966101694,0.06073446327683607,2100,2242,0.936663693131133,0.06973684210526315,0.13596491228070176,0.06622807017543861,0.07571428571428572,0.13826940231935772,0.062555116605072,3,3,0,1,1,0.25806451612903225,3.8289921,0.07194015647573623,0.25806451612903225,0.6895158248272404,904.6451612903226,0.1476,362.2717740110254,A_TrueMR,497,A_TrueMR,497,
,SLD1,T_0.400_000,0.4,0,753,105,4.751424312591553,0.2932551319648094,0.4574780058651026,0.530791788856305,0.592375366568915,0.18299120234604105,1200.4222873900292,0.023780487804878046,64,41,2624,341,5,6,1,1.0,5,8,3,30.0,555.0,0.05405405405405406,460.3919161558151,575.6223644018173,0.7998158942873096,1.5609756097560976,1.5609756097560976,0.0,2624,2624,1.0,0.09222560975609756,0.12995426829268292,0.03772865853658536,0.09222560975609756,0.12995426829268292,0.03772865853658536,5,4,1,2,3,0.2932551319648094,4.751424,0.01606290075066724,0.2932551319648094,0.6728850761748087,1200.4222873900292,0.18299120234604105,480.5726460017166,A_TrueMR,162,A_TrueMR,162,
,SLD1,T_0.344_180,0.344,180,145,104,4.509150981903076,0.3946360153256705,0.4559386973180077,0.49808429118773945,0.5402298850574713,0.15684291187739463,877.6819923371647,0.02165925925925926,55,35,1925,261,4,7,3,1.0,4,7,3,9.5,52.0,0.18269230769230768,308.32590079307556,430.50966584682465,0.7161881027376931,1.6666666666666667,1.542857142857143,0.12380952380952381,1815,1890,0.9603174603174603,0.08311688311688312,0.13558441558441559,0.05246753246753247,0.0881542699724518,0.1380952380952381,0.04994096812278631,4,7,3,0,3,0.3946360153256705,4.509151,0.057113872230932894,0.3946360153256705,0.6531471997177326,877.6819923371647,0.15684291187739463,351.4646852546965,A_TrueMR,547,A_TrueMR,547,
,SLD1,T_0.317_000,0.317,0,1086,111,4.601828098297119,0.30739299610894943,0.44357976653696496,0.48638132295719844,0.5330739299610895,0.14061478599221788,746.544747081712,0.02190181818181818,51,33,1683,257,2,6,4,1.0,2,6,4,2.5,67.0,0.03731343283582089,218.3847758769989,396.16652023792267,0.5512449051622162,3.1875,1.5151515151515151,1.6723484848484849,816,1650,0.49454545454545457,0.0659536541889483,0.1527035056446821,0.0867498514557338,0.13602941176470587,0.15575757575757576,0.01972816399286989,2,6,4,0,4,0.30739299610894943,4.601828,0.08246708658224836,0.30739299610894943,0.4109222957429641,746.544747081712,0.14061478599221788,298.8644522101306,A_TrueMR,910,A_TrueMR,910,
,SLD1,T_0.344_000,0.344,0,1161,109,4.376430988311768,0.2363013698630137,0.4178082191780822,0.476027397260274,0.541095890410959,0.14372602739726026,804.2808219178082,0.021801558441558438,55,35,1925,292,3,4,1,1.0,3,5,2,7.0,82.5,0.08484848484848485,241.59797883033752,447.9238796234131,0.5393728484256259,1.6666666666666667,1.5714285714285714,0.09523809523809534,1815,1925,0.9428571428571428,0.06493506493506493,0.15168831168831168,0.08675324675324675,0.06887052341597796,0.15168831168831168,0.08281778827233371,3,3,0,1,1,0.2363013698630137,4.376431,0.09040833451419858,0.2363013698630137,0.6679285849061691,804.2808219178082,0.14372602739726026,322.11308591806704,A_TrueMR,769,A_TrueMR,769,
,SLD1,T_0.400_180,0.4,180,994,117,3.015018939971924,0.2870967741935484,0.6580645161290323,0.7838709677419354,0.8032258064516129,0.2632258064516129,1726.7612903225806,0.03159117305458769,64,41,2624,310,3,7,4,1.0,7,7,0,553.5,61.5,9.0,573.0020878314972,521.5218585729599,1.0987115466251072,1.5609756097560976,1.5365853658536586,0.024390243902439046,2624,2583,1.0158730158730158,0.1055640243902439,0.11814024390243902,0.01257621951219512,0.1055640243902439,0.1200154858691444,0.014451461478900501,-1,7,8,4,12,0.2870967741935484,3.0150187,0.01139640384258081,0.2870967741935484,0.6358454472793575,1726.7612903225806,0.2632258064516129,691.0860233973999,A_TrueMR,17,A_TrueMR,17,
,SLD1,T_0.289_180,0.289,180,662,44,3.605532169342041,0.24545454545454545,0.5318181818181819,0.5772727272727273,0.6045454545454545,0.15369545454545455,749.8636363636364,0.024502173913043476,47,30,1410,220,6,1,5,1.0,6,4,2,7.5,607.0,0.012355848434925865,171.9827550649643,316.6518015861511,0.5431289328008865,3.3846153846153846,1.5333333333333334,1.8512820512820511,572,1380,0.4144927536231884,0.06453900709219858,0.15602836879432624,0.09148936170212767,0.1590909090909091,0.15942028985507245,0.0003293807641633617,6,-2,8,3,11,0.24545454545454545,3.605532,0.07764326441546332,0.24545454545454545,0.3852726151431054,749.8636363636364,0.15369545454545455,300.1766181145404,A_TrueMR,904,A_TrueMR,904,
,SLD1,T_0.400_180,0.4,180,878,119,0.7657264471054077,0.5032258064516129,0.867741935483871,0.9258064516129032,0.9516129032258065,0.34709677419354845,2276.9548387096775,0.04165698799845142,64,41,2624,310,7,7,0,1.0,9,7,2,54.5,61.5,0.8861788617886179,569.7472536563873,521.5218585729599,1.0924705154552612,1.5609756097560976,1.5365853658536586,0.024390243902439046,2624,2583,1.0158730158730158,0.1055640243902439,0.11814024390243902,0.01257621951219512,0.1055640243902439,0.1200154858691444,0.014451461478900501,5,7,2,2,4,0.5032258064516129,0.76572645,0.0038033522427045607,0.5032258064516129,0.7406841569567768,2276.9548387096775,0.34709677419354845,911.2263459780452,A_TrueMR,2,A_TrueMR,2,
