candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,w_actual,h_actual,x1,y1,x2,y2,is_tp_a,is_tp_b
SLD2_00303,SLD2,T_0.400_000,0.4,0,191,410,2.524667739868164,0.3460410557184751,0.5865102639296188,0.6656891495601173,0.7419354838709677,0.2346041055718475,1539.0029325513196,0.0304878048780487,64,41,2624,341,14,6,8,1.0,18,8,10,171.0,555.0,0.3081081081081081,649.3036035299301,575.6223644018173,1.1280027387481406,1.9393939393939397,1.5609756097560976,0.3784183296378418,2112,2624,0.8048780487804879,0.1314786585365853,0.1299542682926829,0.0015243902439024,0.1633522727272727,0.1299542682926829,0.0333980044345898,10,4,6,2,8,0.3460410557184751,2.5246675,0.0369118750867039,0.3460410557184751,0.4411441718522757,1539.0029325513196,0.2346041055718475,615.8658595236393,25.6,16.400000000000002,178.2,401.8,203.8,418.2,False,False
SLD2_00317,SLD2,T_0.400_180,0.4,180,523,427,1.4923932552337646,0.2612903225806451,0.5838709677419355,0.7354838709677419,0.864516129032258,0.2335483870967742,1532.0774193548386,0.0280294231513743,64,41,2624,310,18,7,11,1.0,28,7,21,249.5,61.5,4.056910569105691,755.3107435703278,521.5218585729599,1.448282044470934,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.1551067073170731,0.118140243902439,0.0369664634146341,0.1551067073170731,0.1200154858691444,0.0350912214479287,8,7,1,10,11,0.2612903225806451,1.4923931,0.0196247368279791,0.2612903225806451,0.4590975110211931,1532.0774193548386,0.2335483870967742,613.1064262485482,25.6,16.400000000000002,510.2,418.8,535.8,435.2,False,False
SLD2_00319,SLD2,T_0.400_180,0.4,180,655,70,1.93363356590271,0.2032258064516129,0.5838709677419355,0.6838709677419355,0.7870967741935484,0.2335483870967742,1532.0774193548386,0.0280294231513743,64,41,2624,310,18,7,11,1.0,26,7,19,637.5,61.5,10.365853658536585,690.7178168296814,521.5218585729599,1.3244273571192056,1.641025641025641,1.5365853658536586,0.1044402751719824,2496,2583,0.9663182346109176,0.140625,0.118140243902439,0.0224847560975609,0.1478365384615384,0.1200154858691444,0.027821052592394,10,7,3,8,11,0.2032258064516129,1.9336336,0.0342807213129281,0.2032258064516129,0.4300185251630964,1532.0774193548386,0.2335483870967742,613.0889788570333,25.6,16.400000000000002,642.2,61.8,667.8,78.2,False,False
SLD2_00321,SLD2,T_0.400_000,0.4,0,647,56,2.7238399982452397,0.2434017595307918,0.5835777126099707,0.6422287390029325,0.7126099706744868,0.2334310850439883,1531.3079178885632,0.0303353658536585,64,41,2624,341,22,6,16,1.0,27,8,19,578.5,555.0,1.0423423423423424,559.8061295747757,575.6223644018173,0.9725232447431438,1.8823529411764703,1.5609756097560976,0.3213773314203729,2176,2624,0.8292682926829268,0.1166158536585365,0.1299542682926829,0.0133384146341463,0.140625,0.1299542682926829,0.010670731707317,17,4,13,3,16,0.2434017595307918,2.72384,0.0294179908923259,0.2434017595307918,0.4039432323068702,1531.3079178885632,0.2334310850439883,612.7655330948095,25.6,16.400000000000002,634.2,47.8,659.8,64.2,False,False
SLD2_00329,SLD2,T_0.400_090,0.4,90,474,19,1.78030526638031,0.25625,0.58125,0.73125,0.81875,0.2325,1525.2,0.0288037166085946,41,64,2624,320,15,5,10,1.0,24,7,17,224.0,535.5,0.4183006535947712,621.5289989709854,533.7228692770004,1.1645163337537516,0.640625,0.6507936507936508,0.0101686507936508,2624,2583,1.0158730158730158,0.1257621951219512,0.1219512195121951,0.0038109756097561,0.1257621951219512,0.1238869531552458,0.0018752419667053,6,3,3,7,10,0.25625,1.7803055,0.0069732368514344,0.25625,0.4737040263259775,1525.2,0.2325,610.3642224157957,16.400000000000002,25.6,465.8,6.199999999999999,482.2,31.8,False,False
SLD2_00332,SLD2,T_0.400_180,0.4,180,403,69,2.141265392303467,0.2935483870967741,0.5806451612903226,0.7451612903225806,0.8032258064516129,0.232258064516129,1523.6129032258066,0.0278745644599303,64,41,2624,310,7,7,0,1.0,9,7,2,135.0,61.5,2.1951219512195124,445.0193326473236,521.5218585729599,0.8533090710042909,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.0899390243902439,0.118140243902439,0.0282012195121951,0.0899390243902439,0.1200154858691444,0.0300764614789005,5,7,2,2,4,0.2935483870967741,2.1412654,0.0682545590838391,0.2935483870967741,0.6715309311503254,1523.6129032258066,0.232258064516129,609.8480798490128,25.6,16.400000000000002,390.2,60.8,415.8,77.2,False,False
SLD2_00334,SLD2,T_0.400_180,0.4,180,202,424,1.6874070167541504,0.3419354838709677,0.5806451612903226,0.7193548387096774,0.8129032258064516,0.232258064516129,1523.6129032258066,0.0278745644599303,64,41,2624,310,9,7,2,1.0,12,7,5,84.0,61.5,1.3658536585365857,699.78888463974,521.5218585729599,1.3418208137134886,1.6842105263157894,1.5365853658536586,0.1476251604621308,2432,2583,0.9415408439798684,0.1398628048780487,0.118140243902439,0.0217225609756097,0.1509046052631578,0.1200154858691444,0.0308891193940134,6,7,1,3,4,0.3419354838709677,1.687407,0.038309452971977,0.3419354838709677,0.6125332769949395,1523.6129032258066,0.232258064516129,609.8126812565196,25.6,16.400000000000002,189.2,415.8,214.8,432.2,False,False
SLD2_00340,SLD2,T_0.400_180,0.4,180,227,424,2.067011833190918,0.3354838709677419,0.5806451612903226,0.6838709677419355,0.7741935483870968,0.232258064516129,1523.6129032258066,0.0278745644599303,64,41,2624,310,9,7,2,1.0,14,7,7,179.5,61.5,2.9186991869918697,751.6883795261383,521.5218585729599,1.4413362875776348,1.6842105263157894,1.5365853658536586,0.1476251604621308,2432,2583,0.9415408439798684,0.1486280487804878,0.118140243902439,0.0304878048780487,0.1603618421052631,0.1200154858691444,0.0403463562361187,4,7,3,5,8,0.3354838709677419,2.0670118,0.0234295249648155,0.3354838709677419,0.5669532969750629,1523.6129032258066,0.232258064516129,609.7853332685077,25.6,16.400000000000002,214.2,415.8,239.8,432.2,False,False
SLD2_00346,SLD2,T_0.400_180,0.4,180,457,46,1.395588994026184,0.2870967741935484,0.5806451612903226,0.7548387096774194,0.8838709677419355,0.232258064516129,1523.6129032258066,0.0278745644599303,64,41,2624,310,21,7,14,1.0,26,7,19,216.0,61.5,3.5121951219512195,749.8132693767548,521.5218585729599,1.4377408291734284,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.1596798780487804,0.118140243902439,0.0415396341463414,0.1596798780487804,0.1200154858691444,0.039664392179636,16,7,9,5,14,0.2870967741935484,1.395589,0.0168868308010891,0.2870967741935484,0.4650101782123813,1523.6129032258066,0.232258064516129,609.7241673972501,25.6,16.400000000000002,444.2,37.8,469.8,54.2,False,False
SLD2_00390,SLD2,T_0.400_180,0.4,180,751,427,1.8381797075271609,0.2451612903225806,0.5741935483870968,0.6838709677419355,0.8129032258064516,0.2296774193548387,1506.683870967742,0.0275648470770422,64,41,2624,310,10,7,3,1.0,25,7,18,629.5,61.5,10.235772357723578,796.9432128667831,521.5218585729599,1.5281108543512607,1.641025641025641,1.5365853658536586,0.1044402751719824,2496,2583,0.9663182346109176,0.1551067073170731,0.118140243902439,0.0369664634146341,0.1630608974358974,0.1200154858691444,0.043045411566753,-5,7,12,15,27,0.2451612903225806,1.8381797,0.0267898840093243,0.2451612903225806,0.5066579570661003,1506.683870967742,0.2296774193548387,602.9775431613365,25.6,16.400000000000002,738.2,418.8,763.8,435.2,False,False
