candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,w_actual,h_actual,x1,y1,x2,y2
SLD7_02848,SLD7,T_0.372_090,0.372,90,252,86,2.713817834854126,0.211038961038961,0.5097402597402597,0.6623376623376623,0.7564935064935064,0.1896233766233766,1162.2077922077922,0.0260499553969669,38,60,2280,308,16,7,9,1.0,22,7,15,335.5,78.0,4.301282051282051,555.8893899917603,473.3380932807922,1.174402394150849,0.6909090909090909,0.6440677966101694,0.0468412942989214,2090,2242,0.9322033898305084,0.1302631578947368,0.1350877192982456,0.0048245614035087,0.1421052631578947,0.1373773416592328,0.0047279214986619,10,7,3,6,9,0.211038961038961,2.7138176,0.0144991708735865,0.211038961038961,0.4620329328714699,1162.2077922077922,0.1896233766233766,465.16033664283975,14.136,22.32,244.932,74.84,259.068,97.16
SLD7_02856,SLD7,T_0.372_270,0.372,270,554,154,1.8991899490356443,0.2161290322580645,0.5096774193548387,0.6419354838709678,0.7935483870967742,0.1896,1162.0645161290322,0.0262158786797502,38,60,2280,310,18,3,15,1.0,20,3,17,57.0,79.0,0.7215189873417721,605.8477591276169,492.45079135894775,1.2302706580199485,0.6,0.6440677966101694,0.0440677966101694,2160,2242,0.9634255129348795,0.1447368421052631,0.1359649122807017,0.0087719298245614,0.1527777777777778,0.1382694023193577,0.01450837545842,16,3,13,2,15,0.2161290322580645,1.89919,0.006826630730478,0.2161290322580645,0.4513690892987891,1162.0645161290322,0.1896,465.0966279051922,14.136,22.32,546.932,142.84,561.068,165.16
SLD7_02858,SLD7,T_0.372_270,0.372,270,4,261,2.0415754318237305,0.2193548387096774,0.5096774193548387,0.6838709677419355,0.7935483870967742,0.1896,1162.0645161290322,0.0262158786797502,38,60,2280,310,16,3,13,1.0,24,3,21,225.0,79.0,2.848101265822785,673.6467489004135,492.45079135894775,1.3679473375226885,0.4166666666666667,0.6440677966101694,0.2274011299435027,1500,2242,0.6690454950936664,0.1530701754385965,0.1359649122807017,0.0171052631578947,0.2326666666666666,0.1382694023193577,0.0943972643473089,8,3,5,8,13,0.2193548387096774,2.0415757,0.0305008924426191,0.2193548387096774,0.3980257201231619,1162.0645161290322,0.1896,465.0646218836868,14.136,22.32,-3.0679999999999996,249.84,11.068,272.16
SLD7_02860,SLD7,T_0.400_000,0.4,0,274,500,2.898179292678833,0.2140762463343108,0.4428152492668621,0.5601173020527859,0.6686217008797654,0.1771260997067448,1161.9472140762464,0.0230182926829268,64,41,2624,341,16,6,10,1.0,21,8,13,275.0,555.0,0.4954954954954955,795.7300096750259,575.6223644018173,1.3823820248922103,1.641025641025641,1.5609756097560976,0.0800500312695433,2496,2624,0.951219512195122,0.1592987804878048,0.1299542682926829,0.0293445121951219,0.1674679487179487,0.1299542682926829,0.0375136804252657,11,4,7,3,10,0.2140762463343108,2.8981793,0.0256247825785769,0.2140762463343108,0.434841229122307,1161.9472140762464,0.1771260997067448,465.03979036797193,25.6,16.400000000000002,261.2,491.8,286.8,508.2
SLD7_02895,SLD7,T_0.344_090,0.344,90,174,89,2.0683786869049072,0.2664092664092664,0.6023166023166023,0.6988416988416989,0.7760617760617761,0.2071969111969112,1159.4594594594596,0.0283936507936507,35,55,1925,259,12,5,7,1.0,18,5,13,259.0,47.5,5.4526315789473685,521.5878744125366,440.7523070573807,1.1834036170901587,0.6363636363636364,0.6481481481481481,0.0117845117845117,1925,1890,1.0185185185185186,0.1423376623376623,0.1345454545454545,0.0077922077922077,0.1423376623376623,0.137037037037037,0.0053006253006253,6,5,1,6,7,0.2664092664092664,2.0683787,0.015303839715492,0.2664092664092664,0.5049473109473109,1159.4594594594596,0.2071969111969112,464.0867521703522,12.04,18.919999999999998,167.98,79.54,180.02,98.46
SLD7_02899,SLD7,T_0.344_090,0.344,90,1731,328,1.570345163345337,0.2741312741312741,0.6023166023166023,0.7567567567567568,0.8532818532818532,0.2071969111969112,1159.4594594594596,0.0283936507936507,35,55,1925,259,13,5,8,1.0,18,5,13,144.5,47.5,3.042105263157895,602.8355672359467,440.7523070573807,1.3677422842337266,0.4727272727272727,0.6481481481481481,0.1754208754208754,1430,1890,0.7566137566137566,0.1636363636363636,0.1345454545454545,0.029090909090909,0.2202797202797203,0.137037037037037,0.0832426832426832,8,5,3,5,8,0.2741312741312741,1.5703452,0.0264909854237362,0.2741312741312741,0.4446884886884886,1159.4594594594596,0.2071969111969112,464.05059687699696,12.04,18.919999999999998,1724.98,318.54,1737.02,337.46
SLD7_02913,SLD7,T_0.372_180,0.372,180,102,85,3.348426103591919,0.3226837060702875,0.5079872204472844,0.5846645367412141,0.6613418530351438,0.1889712460063898,1158.2108626198085,0.0263818019625334,60,38,2280,313,9,2,7,1.0,11,2,9,59.0,83.0,0.7108433734939759,500.19090485572815,492.45079159736633,1.01571753643294,1.5789473684210529,1.5526315789473684,0.0263157894736842,2280,2242,1.0169491525423728,0.1201754385964912,0.1372807017543859,0.0171052631578947,0.1201754385964912,0.139607493309545,0.0194320547130538,7,2,5,2,7,0.3226837060702875,3.348426,0.0210318040757245,0.3226837060702875,0.5242344903521596,1158.2108626198085,0.1889712460063898,463.5988857421347,22.32,14.136,90.84,77.932,113.16,92.068
SLD7_02921,SLD7,T_0.344_180,0.344,180,1289,503,1.5818053483963013,0.2911877394636015,0.6015325670498084,0.7203065134099617,0.8275862068965517,0.206927203065134,1157.950191570881,0.0285756613756613,55,35,1925,261,8,7,1,1.0,13,7,6,209.0,52.0,4.019230769230769,518.2152895927429,430.5096658468247,1.2037250977243423,1.5714285714285714,1.542857142857143,0.0285714285714284,1925,1890,1.0185185185185186,0.148051948051948,0.1355844155844155,0.0124675324675324,0.148051948051948,0.1380952380952381,0.0099567099567099,3,7,4,5,9,0.2911877394636015,1.5818053,0.0074929912430585,0.2911877394636015,0.6071571876399463,1157.950191570881,0.206927203065134,463.54437094093646,18.919999999999998,12.04,1279.54,496.98,1298.46,509.02
SLD7_02924,SLD7,T_0.372_180,0.372,180,847,114,2.4945292472839355,0.255591054313099,0.5079872204472844,0.6134185303514377,0.6869009584664537,0.1889712460063898,1158.2108626198085,0.0263818019625334,60,38,2280,313,13,2,11,1.0,26,2,24,326.5,83.0,3.933734939759036,617.3696186542511,492.45079159736633,1.2536676337785642,1.9310344827586208,1.5526315789473684,0.3784029038112524,1624,2242,0.7243532560214094,0.1390350877192982,0.1372807017543859,0.0017543859649122,0.1951970443349753,0.139607493309545,0.0555895510254303,0,2,2,13,15,0.255591054313099,2.4945292,0.0128417554809868,0.255591054313099,0.3895279481336107,1158.2108626198085,0.1889712460063898,463.5180618168036,22.32,14.136,835.84,106.932,858.16,121.068
SLD7_02943,SLD7,T_0.317_180,0.317,180,281,504,1.301802635192871,0.388235294117647,0.6862745098039216,0.796078431372549,0.8784313725490196,0.2175490196078431,1155.0,0.034671875,51,33,1683,255,11,5,6,1.0,14,5,9,57.5,66.5,0.8646616541353384,510.6345567703247,393.0954530239105,1.2990090646997758,1.59375,1.5625,0.03125,1632,1600,1.02,0.1574569221628045,0.1515151515151515,0.005941770647653,0.1623774509803921,0.159375,0.0030024509803921,8,5,3,3,6,0.388235294117647,1.3018028,0.0042907381905741,0.388235294117647,0.5584317439096851,1155.0,0.2175490196078431,462.3350590463458,16.167,10.461,272.9165,498.7695,289.0835,509.2305
